,strike,lastPrice,volume,impliedVolatility
0,90.0,120.25,12.0,1.0000000000000003e-05
1,95.0,115.75,2.0,1.0000000000000003e-05
2,100.0,111.2,11.0,1.0000000000000003e-05
3,105.0,104.14,2.0,1.0000000000000003e-05
4,110.0,100.99,33.0,1.0000000000000003e-05
5,115.0,96.21,12.0,1.0000000000000003e-05
6,120.0,90.7,1.0,1.0000000000000003e-05
7,125.0,85.33,1.0,1.0000000000000003e-05
8,130.0,81.27,3.0,1.0000000000000003e-05
9,135.0,74.43,2.0,1.0000000000000003e-05
10,140.0,71.1,7184.0,1.0000000000000003e-05
11,145.0,66.23,11.0,1.0000000000000003e-05
12,150.0,60.36,41.0,1.0000000000000003e-05
13,155.0,57.4,5.0,1.0000000000000003e-05
14,160.0,50.52,2.0,1.0000000000000003e-05
15,165.0,46.0,2.0,1.0000000000000003e-05
16,170.0,40.5,2.0,1.0000000000000003e-05
17,175.0,36.0,37.0,1.0000000000000003e-05
18,177.5,29.68,,1.0000000000000003e-05
19,180.0,30.6,74.0,1.0000000000000003e-05
20,182.5,28.5,1.0,1.0000000000000003e-05
21,185.0,26.0,25.0,1.0000000000000003e-05
22,187.5,23.57,5.0,1.0000000000000003e-05
23,190.0,19.9,196.0,1.0000000000000003e-05
24,192.5,17.65,41.0,1.0000000000000003e-05
25,195.0,14.99,245.0,1.0000000000000003e-05
26,197.5,12.6,85.0,1.0000000000000003e-05
27,200.0,9.9,1106.0,1.0000000000000003e-05
28,202.5,7.7,448.0,1.0000000000000003e-05
29,205.0,5.05,3657.0,1.0000000000000003e-05
30,207.5,2.9,4446.0,1.0000000000000003e-05
31,210.0,1.23,61256.0,1.0000000000000003e-05
32,212.5,0.33,100893.0,0.062509375
33,215.0,0.08,60583.0,0.12500875
34,217.5,0.04,17076.0,0.12500875
35,220.0,0.03,22229.0,0.2500075
36,222.5,0.01,6039.0,0.2500075
37,225.0,0.01,2974.0,0.2500075
38,227.5,0.01,975.0,0.2500075
39,230.0,0.01,691.0,0.500005
40,232.5,0.01,130.0,0.500005
41,235.0,0.01,677.0,0.500005
42,237.5,0.01,24.0,0.500005
43,240.0,0.01,49.0,0.500005
44,242.5,0.01,130.0,0.500005
45,245.0,0.01,23.0,0.500005
46,250.0,0.01,136.0,0.500005
47,255.0,0.01,2.0,0.500005
48,260.0,0.01,8.0,0.500005
49,265.0,0.01,14.0,0.500005
50,270.0,0.01,1.0,0.500005
51,275.0,0.01,3.0,0.500005
52,280.0,0.02,35.0,0.500005
53,285.0,0.01,9.0,0.500005
54,290.0,0.02,40.0,0.500005
55,295.0,0.01,1.0,0.500005
56,300.0,0.01,1.0,0.500005
57,305.0,0.01,1.0,0.500005
58,310.0,0.01,1.0,0.500005
59,315.0,0.01,1.0,0.500005
60,320.0,0.01,1.0,0.500005
61,325.0,0.01,3.0,1.000005
62,330.0,0.01,31.0,0.500005
63,340.0,0.01,1.0,0.500005
64,350.0,0.01,1.0,0.500005
65,360.0,0.01,2.0,0.500005
66,370.0,0.01,50.0,3.2500018749999997
67,380.0,0.01,1.0,3.3750015624999996
68,390.0,0.01,1.0,0.500005
69,400.0,0.01,5.0,0.500005
