,strike,lastPrice,volume,impliedVolatility
0,90.0,0.01,1.0,0.500005
1,95.0,0.01,2.0,0.500005
2,100.0,0.01,2.0,0.500005
3,105.0,0.01,1.0,0.500005
4,110.0,0.01,526.0,0.500005
5,115.0,0.01,20.0,0.500005
6,120.0,0.01,100.0,0.500005
7,125.0,0.01,3.0,0.500005
8,130.0,0.01,60.0,0.500005
9,135.0,0.01,4.0,0.500005
10,140.0,0.01,7781.0,0.500005
11,145.0,0.01,1.0,0.500005
12,150.0,0.01,1.0,0.500005
13,155.0,0.01,2.0,0.500005
14,160.0,0.01,2.0,0.500005
15,165.0,0.01,12.0,0.500005
16,170.0,0.01,13.0,0.500005
17,175.0,0.01,37.0,0.500005
18,177.5,0.01,2.0,0.500005
19,180.0,0.01,103.0,0.500005
20,182.5,0.01,132.0,0.500005
21,185.0,0.01,889.0,0.500005
22,187.5,0.01,33.0,0.500005
23,190.0,0.01,493.0,0.500005
24,192.5,0.03,212.0,0.500005
25,195.0,0.03,919.0,0.2500075
26,197.5,0.04,846.0,0.2500075
27,200.0,0.05,7463.0,0.2500075
28,202.5,0.06,2425.0,0.12500875
29,205.0,0.1,5898.0,0.12500875
30,207.5,0.27,14698.0,0.062509375
31,210.0,1.04,44171.0,0.000986552734375
32,212.5,2.72,8325.0,1.0000000000000003e-05
33,215.0,5.0,4188.0,1.0000000000000003e-05
34,217.5,6.85,410.0,1.0000000000000003e-05
35,220.0,9.95,8485.0,1.0000000000000003e-05
36,222.5,12.2,311.0,1.0000000000000003e-05
37,225.0,14.95,6331.0,1.0000000000000003e-05
38,227.5,16.25,1.0,1.0000000000000003e-05
39,230.0,18.75,26431.0,1.0000000000000003e-05
40,232.5,22.0,5.0,1.0000000000000003e-05
41,235.0,24.65,4886.0,1.0000000000000003e-05
42,240.0,29.7,1427.0,1.0000000000000003e-05
43,245.0,34.67,3462.0,1.0000000000000003e-05
44,250.0,39.66,1847.0,1.0000000000000003e-05
45,255.0,44.67,550.0,1.0000000000000003e-05
46,260.0,49.7,185.0,1.0000000000000003e-05
47,265.0,54.69,497.0,1.0000000000000003e-05
48,270.0,58.95,8.0,1.0000000000000003e-05
49,275.0,64.89,1.0,1.0000000000000003e-05
50,280.0,66.67,2.0,1.0000000000000003e-05
51,285.0,82.04,1.0,1.0000000000000003e-05
52,290.0,83.29,1.0,1.0000000000000003e-05
53,295.0,88.75,3.0,5.732424709472656
54,300.0,96.65,1.0,1.0000000000000003e-05
55,305.0,92.38,2.0,1.0000000000000003e-05
56,315.0,83.25,,11.233401416625977
57,320.0,66.3,1.0,1.0000000000000003e-05
58,325.0,113.35,,9.567386832885743
59,370.0,116.9,2.0,1.0000000000000003e-05
60,380.0,142.6,1.0,1.0000000000000003e-05
61,390.0,136.4,1.0,1.0000000000000003e-05
